source_file,final_file,source_notebook,role,purpose,source_path,destination_path,status
notebook_02_validation_summary.csv,01_notebook_02_validation_summary.csv,02,technical_appendix,"Documents raw file loaded, row counts and data validation metrics.",/Users/marissa/Desktop/portfolio/oncology-health-economics-portfolio/project_01_sparcs_cancer_utilisation_cost/outputs/tables/notebook_02_validation_summary.csv,/Users/marissa/Desktop/portfolio/oncology-health-economics-portfolio/project_01_sparcs_cancer_utilisation_cost/outputs/final_tables/01_notebook_02_validation_summary.csv,copied
notebook_02_cohort_size_assessment.csv,02_notebook_02_cohort_size_assessment.csv,02,main_report,"Confirms whether the 50,000-row extract is suitable for final modelling.",/Users/marissa/Desktop/portfolio/oncology-health-economics-portfolio/project_01_sparcs_cancer_utilisation_cost/outputs/tables/notebook_02_cohort_size_assessment.csv,/Users/marissa/Desktop/portfolio/oncology-health-economics-portfolio/project_01_sparcs_cancer_utilisation_cost/outputs/final_tables/02_notebook_02_cohort_size_assessment.csv,copied
notebook_03_report_summary.csv,03_notebook_03_report_summary.csv,03,main_report,Summarises primary cancer cohort size and descriptive profile.,/Users/marissa/Desktop/portfolio/oncology-health-economics-portfolio/project_01_sparcs_cancer_utilisation_cost/outputs/tables/notebook_03_report_summary.csv,/Users/marissa/Desktop/portfolio/oncology-health-economics-portfolio/project_01_sparcs_cancer_utilisation_cost/outputs/final_tables/03_notebook_03_report_summary.csv,copied
notebook_03_primary_vs_non_cancer_summary.csv,04_notebook_03_primary_vs_non_cancer_summary.csv,03,main_report,Compares primary cancer and non-cancer admissions.,/Users/marissa/Desktop/portfolio/oncology-health-economics-portfolio/project_01_sparcs_cancer_utilisation_cost/outputs/tables/notebook_03_primary_vs_non_cancer_summary.csv,/Users/marissa/Desktop/portfolio/oncology-health-economics-portfolio/project_01_sparcs_cancer_utilisation_cost/outputs/final_tables/04_notebook_03_primary_vs_non_cancer_summary.csv,copied
notebook_04_report_summary.csv,05_notebook_04_report_summary.csv,04,main_report,"Summarises utilisation, cost and high-cost thresholds.",/Users/marissa/Desktop/portfolio/oncology-health-economics-portfolio/project_01_sparcs_cancer_utilisation_cost/outputs/tables/notebook_04_report_summary.csv,/Users/marissa/Desktop/portfolio/oncology-health-economics-portfolio/project_01_sparcs_cancer_utilisation_cost/outputs/final_tables/05_notebook_04_report_summary.csv,copied
notebook_04_overall_utilisation_cost_summary.csv,06_notebook_04_overall_utilisation_cost_summary.csv,04,main_report,Overall utilisation and cost summary for primary cancer admissions.,/Users/marissa/Desktop/portfolio/oncology-health-economics-portfolio/project_01_sparcs_cancer_utilisation_cost/outputs/tables/notebook_04_overall_utilisation_cost_summary.csv,/Users/marissa/Desktop/portfolio/oncology-health-economics-portfolio/project_01_sparcs_cancer_utilisation_cost/outputs/final_tables/06_notebook_04_overall_utilisation_cost_summary.csv,copied
notebook_04_utilisation_cost_by_diagnosis_group.csv,07_notebook_04_utilisation_cost_by_diagnosis_group.csv,04,technical_appendix,Diagnosis-group utilisation and cost summary. Use report-facing n≥20 interpretation only.,/Users/marissa/Desktop/portfolio/oncology-health-economics-portfolio/project_01_sparcs_cancer_utilisation_cost/outputs/tables/notebook_04_utilisation_cost_by_diagnosis_group.csv,/Users/marissa/Desktop/portfolio/oncology-health-economics-portfolio/project_01_sparcs_cancer_utilisation_cost/outputs/final_tables/07_notebook_04_utilisation_cost_by_diagnosis_group.csv,copied
notebook_04_utilisation_cost_by_primary_payer.csv,08_notebook_04_utilisation_cost_by_primary_payer.csv,04,technical_appendix,Primary payer descriptive summary. Use report-facing n≥20 interpretation only.,/Users/marissa/Desktop/portfolio/oncology-health-economics-portfolio/project_01_sparcs_cancer_utilisation_cost/outputs/tables/notebook_04_utilisation_cost_by_primary_payer.csv,/Users/marissa/Desktop/portfolio/oncology-health-economics-portfolio/project_01_sparcs_cancer_utilisation_cost/outputs/final_tables/08_notebook_04_utilisation_cost_by_primary_payer.csv,copied
notebook_05_report_summary.csv,09_notebook_05_report_summary.csv,05,main_report,Compact final modelling summary.,/Users/marissa/Desktop/portfolio/oncology-health-economics-portfolio/project_01_sparcs_cancer_utilisation_cost/outputs/tables/notebook_05_report_summary.csv,/Users/marissa/Desktop/portfolio/oncology-health-economics-portfolio/project_01_sparcs_cancer_utilisation_cost/outputs/final_tables/09_notebook_05_report_summary.csv,copied
notebook_05_model_comparison_summary.csv,10_notebook_05_model_comparison_summary.csv,05,main_report,Explains final model selection and diagnostic roles.,/Users/marissa/Desktop/portfolio/oncology-health-economics-portfolio/project_01_sparcs_cancer_utilisation_cost/outputs/tables/notebook_05_model_comparison_summary.csv,/Users/marissa/Desktop/portfolio/oncology-health-economics-portfolio/project_01_sparcs_cancer_utilisation_cost/outputs/final_tables/10_notebook_05_model_comparison_summary.csv,copied
