source_file,final_file,source_notebook,role,purpose,source_path,destination_path,status
notebook_03_median_costs_primary_vs_non_cancer.png,01_median_total_costs_primary_cancer_vs_non_cancer.png,03,main_report,Compares median total costs between primary cancer and non-cancer admissions.,/Users/marissa/Desktop/portfolio/oncology-health-economics-portfolio/project_01_sparcs_cancer_utilisation_cost/outputs/figures/notebook_03_median_costs_primary_vs_non_cancer.png,/Users/marissa/Desktop/portfolio/oncology-health-economics-portfolio/project_01_sparcs_cancer_utilisation_cost/outputs/final_figures/main_report/01_median_total_costs_primary_cancer_vs_non_cancer.png,copied
notebook_03_median_los_primary_vs_non_cancer.png,02_median_los_primary_cancer_vs_non_cancer.png,03,main_report,Compares median length of stay between primary cancer and non-cancer admissions.,/Users/marissa/Desktop/portfolio/oncology-health-economics-portfolio/project_01_sparcs_cancer_utilisation_cost/outputs/figures/notebook_03_median_los_primary_vs_non_cancer.png,/Users/marissa/Desktop/portfolio/oncology-health-economics-portfolio/project_01_sparcs_cancer_utilisation_cost/outputs/final_figures/main_report/02_median_los_primary_cancer_vs_non_cancer.png,copied
notebook_03_top_primary_cancer_diagnosis_groups.png,03_top_primary_cancer_diagnosis_groups.png,03,main_report,Describes the distribution of primary cancer diagnosis groups.,/Users/marissa/Desktop/portfolio/oncology-health-economics-portfolio/project_01_sparcs_cancer_utilisation_cost/outputs/figures/notebook_03_top_primary_cancer_diagnosis_groups.png,/Users/marissa/Desktop/portfolio/oncology-health-economics-portfolio/project_01_sparcs_cancer_utilisation_cost/outputs/final_figures/main_report/03_top_primary_cancer_diagnosis_groups.png,copied
notebook_04_median_costs_by_severity.png,04_median_total_costs_by_severity.png,04,main_report,Shows unadjusted cost gradient by APR severity group.,/Users/marissa/Desktop/portfolio/oncology-health-economics-portfolio/project_01_sparcs_cancer_utilisation_cost/outputs/figures/notebook_04_median_costs_by_severity.png,/Users/marissa/Desktop/portfolio/oncology-health-economics-portfolio/project_01_sparcs_cancer_utilisation_cost/outputs/final_figures/main_report/04_median_total_costs_by_severity.png,copied
notebook_04_median_los_by_severity.png,05_median_los_by_severity.png,04,main_report,Shows unadjusted LOS gradient by APR severity group.,/Users/marissa/Desktop/portfolio/oncology-health-economics-portfolio/project_01_sparcs_cancer_utilisation_cost/outputs/figures/notebook_04_median_los_by_severity.png,/Users/marissa/Desktop/portfolio/oncology-health-economics-portfolio/project_01_sparcs_cancer_utilisation_cost/outputs/final_figures/main_report/05_median_los_by_severity.png,copied
notebook_04_median_costs_by_diagnosis_group_min_n20.png,06_median_total_costs_by_diagnosis_group_min_n20.png,04,main_report,Diagnosis-group cost ranking using minimum n≥20 threshold.,/Users/marissa/Desktop/portfolio/oncology-health-economics-portfolio/project_01_sparcs_cancer_utilisation_cost/outputs/figures/notebook_04_median_costs_by_diagnosis_group_min_n20.png,/Users/marissa/Desktop/portfolio/oncology-health-economics-portfolio/project_01_sparcs_cancer_utilisation_cost/outputs/final_figures/main_report/06_median_total_costs_by_diagnosis_group_min_n20.png,copied
notebook_04_median_los_by_diagnosis_group_min_n20.png,07_median_los_by_diagnosis_group_min_n20.png,04,main_report,Diagnosis-group LOS ranking using minimum n≥20 threshold.,/Users/marissa/Desktop/portfolio/oncology-health-economics-portfolio/project_01_sparcs_cancer_utilisation_cost/outputs/figures/notebook_04_median_los_by_diagnosis_group_min_n20.png,/Users/marissa/Desktop/portfolio/oncology-health-economics-portfolio/project_01_sparcs_cancer_utilisation_cost/outputs/final_figures/main_report/07_median_los_by_diagnosis_group_min_n20.png,copied
notebook_05_los_negative_binomial_model_incidence_rate_ratios.png,08_final_negative_binomial_los_model_irr.png,05,main_report,Final adjusted LOS model using Negative Binomial GLM.,/Users/marissa/Desktop/portfolio/oncology-health-economics-portfolio/project_01_sparcs_cancer_utilisation_cost/outputs/figures/notebook_05_los_negative_binomial_model_incidence_rate_ratios.png,/Users/marissa/Desktop/portfolio/oncology-health-economics-portfolio/project_01_sparcs_cancer_utilisation_cost/outputs/final_figures/main_report/08_final_negative_binomial_los_model_irr.png,copied
notebook_05_cost_gamma_model_cost_ratios.png,09_final_gamma_cost_model_cost_ratios.png,05,main_report,Final adjusted total cost model using Gamma GLM.,/Users/marissa/Desktop/portfolio/oncology-health-economics-portfolio/project_01_sparcs_cancer_utilisation_cost/outputs/figures/notebook_05_cost_gamma_model_cost_ratios.png,/Users/marissa/Desktop/portfolio/oncology-health-economics-portfolio/project_01_sparcs_cancer_utilisation_cost/outputs/final_figures/main_report/09_final_gamma_cost_model_cost_ratios.png,copied
notebook_05_high_cost_model_odds_ratios.png,10_final_high_cost_logistic_model_odds_ratios.png,05,main_report,Final adjusted high-cost admission model using logistic GLM.,/Users/marissa/Desktop/portfolio/oncology-health-economics-portfolio/project_01_sparcs_cancer_utilisation_cost/outputs/figures/notebook_05_high_cost_model_odds_ratios.png,/Users/marissa/Desktop/portfolio/oncology-health-economics-portfolio/project_01_sparcs_cancer_utilisation_cost/outputs/final_figures/main_report/10_final_high_cost_logistic_model_odds_ratios.png,copied
